account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
ACC1000,Payne Ltd,SaaS,PH,2026-04-14,partner,Enterprise,37,True,False
ACC1001,Smith-Fuller,FinTech,BR,2025-01-29,organic,Pro,12,False,True
ACC1002,"Lawson, Lewis and Rocha",SaaS,HU,2025-03-21,event,Pro,17,True,False
ACC1003,"Melendez, Turner and Carter",EdTech,HN,2025-05-02,organic,Basic,13,False,True
ACC1004,"Rodriguez, Clark and Cannon",FinTech,MW,2025-03-25,partner,Enterprise,28,False,True
ACC1005,Morrison Ltd,FinTech,IS,2024-06-25,organic,Basic,16,False,True
ACC1006,Woodard-Gibson,FinTech,NO,2026-03-27,organic,Basic,28,False,False
ACC1007,Jimenez-Whitney,EdTech,MY,2026-04-17,event,Enterprise,33,True,True
ACC1008,Hardin-Garrison,FinTech,TL,2025-02-03,event,Enterprise,28,True,False
ACC1009,"Schneider, Gordon and Black",EdTech,SI,2024-08-29,organic,Pro,1,False,True
ACC1010,"Gamble, Schwartz and Figueroa",SaaS,NG,2025-11-20,organic,Enterprise,8,True,False
ACC1011,"Mays, Reyes and Campbell",SaaS,SI,2024-07-23,ads,Pro,5,True,False
ACC1012,Ortiz Inc,EdTech,NG,2025-02-23,event,Enterprise,10,False,True
ACC1013,"Deleon, Jenkins and Carlson",EdTech,IL,2025-10-22,event,Basic,45,False,True
ACC1014,"Jackson, Meadows and Miles",FinTech,BR,2025-09-30,organic,Basic,37,True,False
ACC1015,Roberson Group,DevTools,LI,2025-09-01,partner,Basic,37,True,False
ACC1016,Mccoy-Collins,SaaS,GB,2026-03-22,event,Enterprise,22,True,False
ACC1017,Roberts-Scott,SaaS,IE,2024-05-22,organic,Basic,45,False,True
ACC1018,Mendez LLC,FinTech,LC,2025-11-27,ads,Basic,22,True,False
ACC1019,"Cohen, Oneill and Smith",DevTools,JP,2026-01-31,event,Enterprise,18,True,True
ACC1020,Cox-Hodges,SaaS,DM,2024-12-05,organic,Pro,6,False,False
ACC1021,Leonard Inc,EdTech,MY,2024-06-12,event,Enterprise,3,True,True
ACC1022,"Robinson, Hood and Nguyen",SaaS,PK,2025-11-10,organic,Basic,10,True,True
ACC1023,Bennett-Griffin,EdTech,JP,2025-09-21,partner,Basic,15,True,True
ACC1024,Anderson-Robinson,DevTools,TT,2026-02-28,event,Basic,33,True,True
ACC1025,Mercado-Terry,SaaS,SM,2025-05-12,organic,Basic,11,False,False
ACC1026,Frye LLC,DevTools,IE,2025-02-25,ads,Enterprise,33,True,False
ACC1027,Miller and Sons,DevTools,TZ,2026-01-30,organic,Basic,25,True,False
ACC1028,Hunt-Ramos,EdTech,PS,2026-04-15,event,Pro,21,True,True
ACC1029,Dickson-Ramsey,EdTech,TG,2025-02-19,organic,Pro,35,True,True
ACC1030,"Mccoy, Cardenas and Morris",SaaS,NL,2025-11-23,partner,Pro,15,False,True
ACC1031,Nguyen Ltd,SaaS,SN,2026-03-10,event,Pro,5,False,True
ACC1032,Bush PLC,FinTech,AO,2024-11-15,partner,Enterprise,38,True,False
ACC1033,Martinez-Deleon,SaaS,AE,2026-01-29,ads,Pro,12,False,True
ACC1034,Huff PLC,SaaS,SA,2024-11-24,ads,Basic,38,True,True
ACC1035,"Adams, Daniels and Lindsey",DevTools,UZ,2026-01-02,ads,Enterprise,22,True,False
ACC1036,"Hill, Bautista and Martinez",EdTech,BY,2024-09-03,ads,Enterprise,31,True,True
ACC1037,Wu PLC,DevTools,HT,2025-08-22,organic,Pro,8,True,True
ACC1038,Griffin PLC,DevTools,SY,2025-08-01,organic,Enterprise,39,True,True
ACC1039,Neal-Becker,FinTech,CF,2025-04-02,organic,Basic,35,False,True
ACC1040,"Trujillo, Hickman and Moses",DevTools,HN,2024-12-03,ads,Pro,10,False,False
ACC1041,Tran and Sons,DevTools,RU,2024-07-31,event,Basic,2,False,True
ACC1042,Hunt Group,DevTools,TT,2024-09-30,partner,Enterprise,32,True,True
ACC1043,Flores and Sons,SaaS,CA,2024-07-06,event,Enterprise,22,True,False
ACC1044,Greene PLC,DevTools,CD,2025-10-10,partner,Basic,44,True,True
ACC1045,Hill Group,FinTech,LC,2025-04-14,ads,Enterprise,11,False,True
ACC1046,Fuentes-Wright,DevTools,TZ,2024-06-14,event,Basic,12,True,True
ACC1047,Burns LLC,DevTools,MC,2024-12-11,organic,Pro,5,True,True
ACC1048,"Chambers, Smith and King",EdTech,TJ,2026-04-16,partner,Enterprise,18,False,True
ACC1049,Madden-Sanchez,FinTech,PE,2025-03-14,ads,Basic,41,True,False
ACC1050,Payne-Hernandez,FinTech,BR,2024-12-14,event,Basic,10,False,False
ACC1051,Bailey Ltd,SaaS,TJ,2025-11-28,partner,Pro,16,False,True
ACC1052,"Henderson, Hill and Murphy",SaaS,MN,2024-07-03,organic,Basic,21,True,True
ACC1053,Powell-Petersen,FinTech,JM,2025-05-08,ads,Enterprise,35,False,False
ACC1054,Mitchell-Wallace,EdTech,VA,2025-12-26,organic,Pro,12,False,True
ACC1055,"Stewart, Wright and Wilkins",FinTech,MW,2025-07-28,organic,Pro,37,False,False
ACC1056,Hahn-Bailey,DevTools,JM,2024-05-11,organic,Enterprise,31,True,True
ACC1057,"Serrano, Stafford and Mendoza",FinTech,ID,2025-04-04,ads,Pro,12,False,False
ACC1058,"Williamson, Moore and King",EdTech,RO,2024-06-23,organic,Basic,5,False,True
ACC1059,Harris Ltd,DevTools,PA,2025-08-21,partner,Enterprise,50,False,False
ACC1060,Mcpherson and Sons,SaaS,ID,2024-10-07,organic,Enterprise,26,False,True
ACC1061,"Bishop, Rowe and Peterson",SaaS,SB,2026-04-05,organic,Pro,35,True,False
ACC1062,Peterson-Delacruz,EdTech,PY,2025-10-21,event,Basic,41,False,True
ACC1063,"Taylor, Stone and Irwin",DevTools,ZM,2025-06-07,partner,Basic,7,False,False
ACC1064,Cook-Wood,EdTech,NI,2025-12-05,organic,Enterprise,30,True,False
ACC1065,Powell Ltd,SaaS,CN,2024-06-15,partner,Basic,49,True,False
ACC1066,Castillo-Hanson,FinTech,SM,2024-05-26,ads,Basic,18,False,True
ACC1067,Sanchez Ltd,EdTech,RW,2025-07-22,partner,Basic,49,False,True
ACC1068,Porter LLC,SaaS,SL,2025-07-25,organic,Basic,19,True,True
ACC1069,"Kaufman, Smith and Smith",DevTools,LI,2024-05-14,organic,Basic,41,False,False
ACC1070,Atkinson-Simpson,EdTech,BA,2024-08-03,organic,Basic,28,True,False
ACC1071,Massey-Lucero,DevTools,PA,2026-03-13,ads,Enterprise,8,False,False
ACC1072,Lopez Inc,FinTech,CV,2026-01-02,organic,Enterprise,37,True,True
ACC1073,"Foley, Sanders and Gonzalez",FinTech,LS,2025-04-29,ads,Enterprise,11,True,False
ACC1074,Martinez-Nelson,EdTech,ID,2024-06-29,partner,Basic,15,False,False
ACC1075,Wilson PLC,FinTech,PT,2024-06-05,organic,Basic,23,False,False
