account_id,account_name,industry,country,signup_date,plan_tier,referral_source,usage_count
ACC1000,Peterson Ltd,SaaS,GY,2024-12-07,Enterprise,organic,362
ACC1001,"Warren, Ward and Burnett",DevTools,LS,2024-06-13,Enterprise,ads,451
ACC1002,"Garza, Kirk and Alexander",DevTools,CZ,2025-03-08,Pro,event,293
ACC1003,Turner-Rodgers,FinTech,MA,2024-08-14,Pro,ads,421
ACC1004,Coleman PLC,SaaS,ME,2025-07-28,Pro,organic,614
ACC1005,Jones Group,EdTech,MA,2025-12-31,Pro,ads,384
ACC1006,"Miller, Fowler and White",FinTech,KP,2025-10-07,Enterprise,partner,529
ACC1007,Blair-Hahn,FinTech,SO,2025-07-05,Enterprise,ads,692
ACC1008,Hayes LLC,FinTech,PL,2025-06-20,Enterprise,partner,404
ACC1009,Sanchez-Reeves,FinTech,VC,2025-06-11,Enterprise,partner,312
ACC1010,"Brown, Swanson and Adams",FinTech,LT,2026-01-06,Basic,ads,393
ACC1011,Shaw-May,DevTools,KH,2025-05-03,Basic,event,307
ACC1012,Thompson-Jackson,EdTech,DO,2024-07-06,Basic,organic,470
ACC1013,Hughes-Long,FinTech,SI,2025-02-27,Basic,event,382
ACC1014,Brewer-Glass,DevTools,MX,2025-03-10,Pro,organic,665
ACC1015,Bennett-Parks,EdTech,FI,2024-06-06,Enterprise,ads,662
ACC1016,"Todd, Harding and Moore",FinTech,AZ,2025-01-08,Pro,organic,575
ACC1017,"Patel, Scott and Cole",SaaS,LC,2026-01-11,Pro,partner,599
ACC1018,Fuller LLC,FinTech,SB,2026-04-04,Enterprise,organic,520
ACC1019,Sanchez and Sons,FinTech,SZ,2024-06-12,Enterprise,event,542
ACC1020,Frazier-Mason,EdTech,NL,2026-01-06,Basic,event,269
ACC1021,"Schmidt, Taylor and Smith",EdTech,HU,2024-09-02,Enterprise,ads,527
ACC1022,Arroyo-Tucker,FinTech,JO,2024-11-21,Enterprise,partner,725
ACC1023,"Nielsen, Newman and Ware",EdTech,LS,2026-03-09,Enterprise,partner,529
ACC1024,Allen Ltd,EdTech,LA,2025-01-16,Pro,organic,467
ACC1025,Anderson-Howe,EdTech,MW,2025-06-12,Pro,event,391
ACC1026,Rollins-Chavez,SaaS,SY,2024-09-14,Pro,ads,532
ACC1027,Daniels-Hughes,DevTools,RO,2026-02-02,Pro,partner,468
ACC1028,Avila Ltd,SaaS,GA,2024-07-23,Pro,event,358
ACC1029,Barnes Inc,DevTools,NO,2024-10-11,Enterprise,partner,556
ACC1030,Webb-Gilmore,EdTech,SO,2024-06-19,Enterprise,organic,517
ACC1031,"Rowe, Flores and Sanchez",DevTools,SK,2025-08-16,Basic,ads,326
ACC1032,"Hernandez, Barker and Bonilla",EdTech,SE,2024-08-03,Enterprise,partner,334
ACC1033,"Thomas, Richardson and Jackson",SaaS,CM,2026-02-24,Pro,ads,615
ACC1034,Cooper-Reynolds,FinTech,FM,2024-09-18,Enterprise,organic,403
ACC1035,"Gay, Jones and Ochoa",EdTech,CN,2025-05-11,Pro,organic,444
ACC1036,Dixon Group,SaaS,SI,2026-04-15,Basic,organic,284
ACC1037,Keller PLC,EdTech,YE,2024-10-26,Enterprise,organic,344
ACC1038,Parker-Terry,DevTools,TM,2024-06-21,Pro,ads,726
ACC1039,Rivera PLC,EdTech,NE,2024-08-01,Enterprise,event,514
ACC1040,Foster and Sons,FinTech,PH,2026-03-21,Basic,event,597
ACC1041,"Powell, Soto and Gonzalez",SaaS,VU,2025-04-28,Basic,ads,585
ACC1042,Mitchell-Cook,EdTech,PH,2025-05-27,Pro,event,652
ACC1043,"Wilson, Cochran and Hughes",DevTools,ZM,2024-08-14,Pro,ads,591
ACC1044,"Campbell, Wilson and Ramirez",DevTools,HT,2026-03-23,Pro,organic,415
ACC1045,Munoz-Lane,DevTools,MA,2025-08-15,Pro,event,270
ACC1046,Rogers Inc,EdTech,FJ,2024-07-07,Basic,partner,701
ACC1047,Jones-Jennings,DevTools,OM,2024-09-21,Basic,ads,501
ACC1048,Martin-Larson,SaaS,PW,2026-01-08,Enterprise,organic,704
ACC1049,Medina-Luna,DevTools,MV,2024-06-21,Enterprise,partner,655
ACC1050,"Butler, Carroll and Griffin",FinTech,PK,2025-03-13,Pro,organic,146
ACC1051,"Sanders, Ayala and Austin",FinTech,TD,2026-01-19,Basic,organic,480
ACC1052,Lucas-Oconnell,SaaS,BZ,2026-04-09,Enterprise,event,574
ACC1053,"Le, Hunter and Melton",SaaS,IE,2025-07-22,Enterprise,event,413
ACC1054,"Suarez, Bowers and Thomas",SaaS,SN,2024-05-05,Pro,ads,572
ACC1055,Compton Group,DevTools,BF,2025-04-24,Pro,ads,277
ACC1056,"Navarro, Graham and Jones",FinTech,NL,2025-02-26,Pro,event,459
ACC1057,Myers PLC,DevTools,GT,2025-02-04,Enterprise,organic,396
ACC1058,"Phillips, Jones and Lane",SaaS,MA,2024-07-26,Enterprise,partner,566
ACC1059,Wright-Carson,DevTools,CO,2026-04-15,Enterprise,event,366
ACC1060,Garrett-Allen,EdTech,SO,2024-10-23,Enterprise,ads,607
ACC1061,Marshall-Reyes,SaaS,KG,2025-12-09,Basic,event,485
ACC1062,Solomon-Arnold,EdTech,GM,2026-03-25,Pro,event,351
ACC1063,Morales-Fernandez,EdTech,MT,2025-08-17,Enterprise,organic,794
ACC1064,"Scott, Porter and Cummings",DevTools,MA,2024-05-06,Enterprise,event,552
ACC1065,"Johns, Morris and Flores",SaaS,BI,2025-03-02,Basic,ads,381
ACC1066,"Murphy, Lee and Hall",FinTech,FI,2026-01-24,Basic,partner,706
ACC1067,"Watts, Crane and Castro",EdTech,SM,2024-12-29,Enterprise,organic,426
ACC1068,"Oneal, Perkins and Wagner",FinTech,GW,2026-03-08,Basic,partner,459
ACC1069,Webster and Sons,EdTech,BO,2025-05-23,Enterprise,event,298
ACC1070,"Medina, Small and Ali",EdTech,LS,2025-04-04,Basic,event,828
ACC1071,Edwards Inc,FinTech,GQ,2024-07-12,Basic,event,781
ACC1072,"Lucas, Santos and Cameron",DevTools,MA,2025-04-07,Enterprise,event,478
ACC1073,Torres PLC,FinTech,GD,2025-01-28,Basic,organic,523
ACC1074,Smith-Chung,FinTech,SK,2025-11-26,Pro,ads,862
ACC1075,Mclean-Schultz,DevTools,YE,2025-02-01,Pro,ads,436
ACC1076,Huffman LLC,SaaS,CM,2025-09-09,Pro,event,243
ACC1077,Cruz and Sons,DevTools,CO,2024-05-18,Pro,ads,402
ACC1078,"Wright, Neal and Cole",FinTech,CF,2024-12-08,Basic,partner,864
ACC1079,Stephens Ltd,FinTech,NL,2025-08-12,Pro,ads,461
ACC1080,Zuniga LLC,DevTools,GY,2025-08-26,Pro,event,515
ACC1081,"Farmer, Palmer and Wall",FinTech,LT,2025-05-19,Enterprise,partner,544
ACC1082,Preston-Harvey,FinTech,AU,2024-07-24,Pro,event,872
ACC1083,Walton-Hill,FinTech,GW,2024-08-03,Basic,organic,751
ACC1084,Villanueva Group,DevTools,CZ,2024-12-22,Enterprise,event,265
ACC1085,Hardy-Lopez,FinTech,SA,2025-12-06,Basic,ads,651
ACC1086,Howe LLC,FinTech,ZM,2025-05-04,Pro,partner,505
ACC1087,Davis-Smith,SaaS,RW,2024-10-04,Enterprise,ads,584
ACC1088,"Perez, Rodriguez and Savage",DevTools,GM,2024-06-09,Basic,ads,457
ACC1089,"Moore, Ramirez and Aguilar",EdTech,SL,2024-07-23,Enterprise,organic,687
ACC1090,Turner-Ramos,SaaS,AO,2025-08-22,Basic,ads,432
ACC1091,"Cox, Shea and Haynes",DevTools,FI,2024-08-14,Basic,organic,354
ACC1092,Hudson-Cross,SaaS,UY,2025-10-10,Pro,event,220
ACC1093,Wilson LLC,DevTools,MX,2024-07-11,Pro,ads,201
ACC1094,Green-Mclaughlin,SaaS,BW,2025-08-10,Basic,partner,479
ACC1095,Howard Ltd,FinTech,DK,2026-02-05,Enterprise,partner,263
ACC1096,Patterson-Green,EdTech,AZ,2025-07-01,Basic,partner,729
ACC1097,"Adams, Haynes and Palmer",DevTools,MH,2024-10-26,Pro,partner,596
ACC1098,"Rios, Morrison and Collins",DevTools,TR,2026-02-17,Enterprise,ads,687
ACC1099,Jackson-Holloway,DevTools,IE,2025-09-16,Enterprise,ads,554
ACC1100,"Irwin, Mccoy and White",SaaS,KR,2026-01-16,Enterprise,partner,678
ACC1101,"Shaw, Garcia and Berry",DevTools,TR,2025-12-12,Pro,partner,580
ACC1102,Jimenez Inc,EdTech,TN,2026-01-22,Pro,organic,403
ACC1103,Watson Group,FinTech,OM,2025-12-23,Enterprise,partner,585
ACC1104,"Mills, Dominguez and Jones",EdTech,KZ,2024-12-18,Enterprise,ads,597
ACC1105,Williams-Mathis,FinTech,LU,2025-08-20,Enterprise,ads,405
ACC1106,Romero Group,DevTools,NZ,2026-01-11,Basic,ads,358
ACC1107,Long-Miranda,SaaS,AG,2026-01-22,Pro,partner,673
ACC1108,"Ayala, Lucas and Russell",DevTools,LA,2024-07-15,Basic,organic,745
ACC1109,Morse-Flores,EdTech,BJ,2026-04-10,Enterprise,organic,508
ACC1110,Brewer Group,EdTech,MA,2024-05-12,Basic,organic,416
ACC1111,Poole-Brown,SaaS,PY,2024-06-17,Enterprise,organic,307
ACC1112,"Thompson, Hardy and Williams",DevTools,IL,2026-04-16,Enterprise,organic,443
ACC1113,"Lopez, Davis and Gonzalez",SaaS,IN,2025-11-01,Pro,ads,630
ACC1114,Kent LLC,EdTech,SO,2026-01-12,Basic,event,556
ACC1115,Beck-Chase,EdTech,DK,2024-05-13,Pro,ads,494
ACC1116,Jones Inc,DevTools,GW,2025-02-09,Pro,partner,498
ACC1117,Ramos-Green,SaaS,TH,2025-09-20,Pro,partner,746
ACC1118,"Mays, Mccarty and Cochran",DevTools,GT,2026-02-08,Pro,partner,408
ACC1119,Smith-Joseph,DevTools,BW,2024-10-21,Basic,organic,585
ACC1120,"Gardner, Green and Morgan",DevTools,BI,2024-05-08,Basic,ads,570
ACC1121,Bryant LLC,SaaS,BW,2025-04-30,Basic,ads,447
ACC1122,Hall-Jones,SaaS,KW,2026-04-21,Basic,partner,654
ACC1123,Walsh-Barnes,DevTools,IE,2024-07-31,Enterprise,ads,692
ACC1124,"Harrell, Burns and Weaver",EdTech,LV,2025-09-17,Pro,partner,311
ACC1125,Austin-Burns,SaaS,GN,2025-05-01,Enterprise,partner,340
ACC1126,"Kidd, Humphrey and Watson",FinTech,UG,2025-07-04,Basic,event,621
ACC1127,"Paul, Mcneil and Brown",EdTech,BY,2025-01-23,Pro,partner,957
ACC1128,Carlson Inc,SaaS,SR,2024-09-03,Pro,organic,972
ACC1129,Brown-Adams,FinTech,AE,2025-05-31,Pro,ads,495
ACC1130,Russell Ltd,EdTech,MW,2025-01-07,Basic,ads,586
ACC1131,"Cooper, Simmons and Castillo",FinTech,CR,2025-05-25,Basic,event,657
ACC1132,Combs PLC,SaaS,TO,2026-04-10,Pro,event,437
ACC1133,Thompson Ltd,EdTech,CM,2026-04-08,Pro,partner,598
ACC1134,Townsend-Brown,SaaS,VE,2026-03-24,Enterprise,event,411
ACC1135,"Austin, Bass and Schroeder",DevTools,ZM,2025-06-29,Basic,ads,619
ACC1136,"Davis, Johnson and Ferguson",EdTech,CY,2024-09-07,Basic,event,845
