subscription_id,account_id,start_date,plan_tier,mrr_amount,auto_renew_flag
SUB87369,ACC1000,2025-07-05,Enterprise,192.80792339778628,True
SUB76143,ACC1000,2025-11-13,Enterprise,368.2756121144476,True
SUB28319,ACC1001,2025-12-09,Pro,393.9266891123564,True
SUB39106,ACC1002,2025-07-10,Basic,205.76730383578587,True
SUB31057,ACC1002,2026-02-16,Enterprise,120.18060172305121,True
SUB76805,ACC1002,2025-09-01,Basic,252.35364414430535,True
SUB46144,ACC1003,2026-04-11,Enterprise,330.48635790574826,True
SUB26970,ACC1004,2025-12-12,Basic,450.58976467063343,True
SUB58710,ACC1004,2025-05-07,Enterprise,397.97161897552246,True
SUB16567,ACC1005,2026-01-12,Pro,94.7502432783576,True
SUB73506,ACC1005,2026-03-11,Enterprise,116.66619411257915,True
SUB44312,ACC1006,2025-12-14,Pro,133.73290185384934,True
SUB49873,ACC1006,2025-10-31,Pro,267.6994832273856,True
SUB34389,ACC1007,2025-07-02,Basic,226.7826693272895,True
SUB95679,ACC1007,2025-07-21,Enterprise,83.90462229101286,True
SUB99342,ACC1008,2026-03-12,Basic,265.5782550852308,True
SUB78357,ACC1008,2025-06-13,Pro,324.7999175110563,True
SUB77244,ACC1009,2026-04-07,Basic,215.22934345371567,True
SUB65158,ACC1009,2026-03-29,Enterprise,240.8730801968591,True
SUB56613,ACC1010,2025-12-18,Basic,295.44765927115884,True
SUB65579,ACC1010,2025-10-09,Enterprise,356.3056005853682,True
SUB32380,ACC1010,2025-10-14,Pro,179.22604242969572,True
SUB79257,ACC1011,2025-05-09,Basic,214.6272100481178,True
SUB65853,ACC1012,2026-02-17,Basic,485.26075946060354,True
SUB47976,ACC1013,2026-01-21,Basic,320.30668503262774,True
SUB57041,ACC1013,2026-05-04,Pro,102.72478652361173,True
SUB80419,ACC1013,2026-02-04,Pro,226.63658406199346,True
SUB69781,ACC1014,2025-11-27,Pro,127.5045919499031,True
SUB37979,ACC1015,2025-10-10,Enterprise,221.91640089978912,True
SUB89952,ACC1015,2025-06-02,Pro,325.21496448899876,True
SUB37891,ACC1015,2025-11-17,Pro,106.11763297795292,True
SUB84375,ACC1016,2025-05-08,Pro,374.9612418921846,True
SUB21104,ACC1016,2025-08-10,Basic,247.6135649366314,True
SUB34123,ACC1017,2025-07-10,Pro,464.94018375406716,True
SUB97929,ACC1017,2026-04-18,Pro,285.2818161362018,True
SUB78573,ACC1018,2025-09-23,Enterprise,419.85588740257515,True
SUB48454,ACC1018,2026-03-05,Pro,230.14601809813456,True
SUB23810,ACC1018,2026-02-04,Basic,142.80328519269176,True
SUB96432,ACC1019,2025-08-30,Basic,317.05628181025884,True
SUB57950,ACC1020,2026-04-11,Enterprise,477.7970455238041,True
SUB94415,ACC1021,2026-04-16,Basic,298.3078646845843,True
SUB59448,ACC1022,2026-04-12,Basic,365.69259048267855,True
SUB21938,ACC1023,2025-11-10,Pro,338.19791578116275,True
SUB32905,ACC1023,2025-07-22,Enterprise,168.72589433684118,True
SUB23301,ACC1023,2025-09-12,Pro,191.62857808650543,True
SUB60209,ACC1024,2025-09-22,Pro,228.89587613016099,True
SUB16491,ACC1024,2025-08-28,Pro,397.0788112298491,True
SUB81430,ACC1024,2025-08-07,Enterprise,217.79390367910557,True
SUB89265,ACC1025,2026-03-28,Enterprise,182.76109397343112,True
SUB12302,ACC1026,2026-02-18,Pro,219.99431349214134,True
SUB83192,ACC1026,2025-05-15,Pro,462.7418845331665,True
SUB30087,ACC1027,2026-02-27,Pro,467.7279437637295,True
SUB78418,ACC1027,2025-06-16,Basic,259.52289779218836,True
SUB40838,ACC1028,2025-06-10,Basic,52.97326023384466,True
SUB66756,ACC1028,2026-05-05,Pro,195.61875540031025,True
