ticket_id,account_id,priority,satisfaction_score
TKT1033,ACC1001,low,3
TKT5195,ACC1005,urgent,3
TKT6943,ACC1006,low,2
TKT8121,ACC1010,high,1
TKT8580,ACC1011,urgent,2
TKT2472,ACC1012,medium,1
TKT4486,ACC1013,urgent,5
TKT2901,ACC1015,low,3
TKT2649,ACC1016,urgent,3
TKT9983,ACC1017,urgent,4
TKT9894,ACC1019,high,4
TKT9981,ACC1023,low,5
TKT2998,ACC1025,high,2
TKT4454,ACC1026,low,5
TKT1057,ACC1027,high,2
TKT9980,ACC1028,medium,2
TKT8758,ACC1029,medium,2
TKT2342,ACC1030,urgent,4
TKT7744,ACC1031,high,1
TKT7662,ACC1032,medium,2
TKT6151,ACC1035,medium,2
TKT4996,ACC1037,low,2
TKT3227,ACC1038,urgent,5
TKT8862,ACC1039,low,1
TKT4381,ACC1040,high,5
TKT7610,ACC1042,low,2
TKT6405,ACC1043,high,5
TKT6306,ACC1047,low,3
TKT2099,ACC1048,low,4
TKT5066,ACC1052,urgent,1
TKT3738,ACC1053,low,1
TKT8792,ACC1055,urgent,3
TKT7353,ACC1058,urgent,2
TKT7592,ACC1059,urgent,1
TKT3893,ACC1061,high,5
TKT5873,ACC1062,urgent,4
TKT1022,ACC1064,medium,4
TKT3784,ACC1065,urgent,2
TKT4948,ACC1066,medium,3
TKT1121,ACC1068,low,3
TKT6561,ACC1072,high,1
TKT9294,ACC1076,low,4
TKT6303,ACC1078,medium,3
TKT8284,ACC1079,high,4
TKT2709,ACC1080,low,2
TKT3050,ACC1081,medium,1
TKT4080,ACC1082,medium,5
TKT5552,ACC1085,high,3
TKT6164,ACC1087,urgent,3
TKT2635,ACC1090,high,1
TKT4665,ACC1091,low,2
TKT1735,ACC1092,urgent,4
TKT8587,ACC1098,high,4
TKT7914,ACC1102,urgent,3
TKT5828,ACC1103,low,1
TKT9230,ACC1105,low,1
TKT6776,ACC1106,urgent,1
TKT5700,ACC1107,urgent,2
TKT2658,ACC1115,medium,2
TKT7945,ACC1116,urgent,3
TKT4646,ACC1118,urgent,4
TKT1968,ACC1119,high,2
TKT8191,ACC1120,low,4
TKT8515,ACC1121,medium,2
TKT9608,ACC1123,medium,2
TKT9407,ACC1124,urgent,3
TKT3985,ACC1125,low,5
TKT3623,ACC1127,medium,3
TKT9624,ACC1128,low,1
TKT6064,ACC1129,medium,2
TKT2060,ACC1130,urgent,1
TKT4628,ACC1132,low,2
TKT3296,ACC1133,urgent,3
TKT3776,ACC1135,low,5
TKT1364,ACC1136,urgent,5
TKT5519,ACC1137,high,3
TKT6146,ACC1138,urgent,5
TKT1229,ACC1141,medium,4
TKT3111,ACC1142,urgent,4
TKT2269,ACC1143,high,5
TKT4654,ACC1145,urgent,1
TKT1711,ACC1147,low,2
TKT5905,ACC1148,low,2
TKT8327,ACC1150,urgent,4
TKT8612,ACC1151,urgent,3
TKT5435,ACC1154,high,4
TKT3927,ACC1155,low,4
TKT3570,ACC1156,urgent,2
TKT3498,ACC1163,low,4
TKT5779,ACC1168,high,1
TKT1022,ACC1170,high,4
TKT5916,ACC1171,urgent,1
TKT2793,ACC1172,low,5
TKT9132,ACC1174,high,3
TKT1627,ACC1178,urgent,5
TKT8271,ACC1181,high,5
TKT3958,ACC1182,high,4
TKT3982,ACC1183,medium,2
TKT3829,ACC1184,low,4
TKT3021,ACC1185,high,3
TKT6609,ACC1188,low,5
TKT8999,ACC1190,urgent,5
TKT1965,ACC1192,low,3
TKT2709,ACC1193,urgent,1
TKT8038,ACC1194,low,2
TKT2868,ACC1196,medium,4
TKT1543,ACC1197,high,1
TKT1774,ACC1202,medium,2
TKT1279,ACC1204,medium,4
TKT3187,ACC1205,high,1
TKT6597,ACC1207,medium,3
TKT9563,ACC1209,low,3
TKT8961,ACC1212,low,2
TKT2208,ACC1213,urgent,2
TKT7107,ACC1215,medium,5
TKT4884,ACC1219,medium,1
TKT8060,ACC1220,urgent,3
TKT7565,ACC1222,medium,3
TKT1385,ACC1223,medium,5
TKT3295,ACC1224,low,1
TKT1304,ACC1226,low,2
TKT2598,ACC1227,medium,4
TKT5084,ACC1232,medium,1
TKT7793,ACC1234,medium,4
TKT5914,ACC1238,urgent,4
TKT1558,ACC1241,low,5
TKT5561,ACC1242,high,4
TKT7614,ACC1243,low,5
TKT3216,ACC1244,urgent,2
TKT5623,ACC1250,low,5
TKT1041,ACC1252,high,4
TKT9700,ACC1254,low,5
TKT8432,ACC1256,low,4
TKT9028,ACC1260,low,5
TKT8682,ACC1262,low,2
TKT6741,ACC1265,medium,1
TKT8851,ACC1266,low,2
TKT6159,ACC1269,high,3
TKT4210,ACC1271,high,5
TKT5783,ACC1273,high,1
TKT1476,ACC1274,urgent,2
TKT8049,ACC1275,high,3
TKT5791,ACC1278,medium,2
TKT2169,ACC1279,high,2
TKT8593,ACC1280,low,4
TKT1665,ACC1281,high,4
TKT9763,ACC1290,medium,1
TKT2879,ACC1291,medium,4
TKT4849,ACC1294,high,5
TKT8909,ACC1299,urgent,3
TKT7990,ACC1300,low,5
TKT3307,ACC1302,high,5
TKT4594,ACC1305,urgent,3
TKT7046,ACC1307,high,2
TKT6335,ACC1308,medium,2
TKT9683,ACC1309,high,2
TKT6374,ACC1316,high,3
TKT7866,ACC1318,high,3
TKT9299,ACC1319,urgent,3
TKT5011,ACC1320,urgent,4
TKT5410,ACC1321,low,1
TKT3102,ACC1322,urgent,4
TKT7680,ACC1323,medium,1
TKT5253,ACC1330,low,1
TKT8111,ACC1332,medium,5
TKT4842,ACC1333,urgent,1
TKT1674,ACC1335,medium,5
TKT3825,ACC1336,high,1
TKT7351,ACC1340,high,3
TKT7276,ACC1341,high,3
TKT5142,ACC1343,high,3
TKT4159,ACC1344,medium,5
TKT7510,ACC1348,urgent,1
TKT4711,ACC1351,urgent,4
TKT9588,ACC1352,medium,2
TKT2070,ACC1354,high,5
TKT5235,ACC1356,high,3
TKT7831,ACC1359,high,5
TKT6256,ACC1360,medium,3
TKT7618,ACC1361,urgent,1
TKT7245,ACC1362,high,3
TKT1221,ACC1363,urgent,5
TKT3973,ACC1364,low,2
TKT3588,ACC1367,medium,1
TKT9764,ACC1370,urgent,1
TKT7969,ACC1371,low,3
TKT6780,ACC1372,high,2
TKT6024,ACC1373,medium,4
TKT4331,ACC1375,urgent,2
TKT6766,ACC1378,high,3
TKT3139,ACC1379,urgent,5
TKT7220,ACC1380,urgent,1
TKT9039,ACC1381,medium,1
TKT4856,ACC1387,high,5
TKT9453,ACC1388,low,5
TKT4586,ACC1389,high,4
TKT3233,ACC1390,low,2
TKT7500,ACC1393,high,4
TKT2828,ACC1395,medium,5
TKT7203,ACC1399,urgent,5
TKT9244,ACC1400,medium,1
TKT7482,ACC1401,low,3
TKT2269,ACC1402,medium,1
TKT3577,ACC1403,urgent,4
TKT9781,ACC1404,medium,1
TKT2011,ACC1405,urgent,4
TKT5569,ACC1412,low,1
TKT6202,ACC1414,low,3
TKT9026,ACC1416,medium,5
TKT8651,ACC1419,low,4
TKT7999,ACC1420,low,5
TKT8426,ACC1421,urgent,4
TKT6819,ACC1422,high,5
TKT2858,ACC1424,low,5
TKT4845,ACC1426,medium,5
TKT6495,ACC1428,high,3
TKT8268,ACC1430,low,3
TKT8347,ACC1432,high,5
TKT4095,ACC1433,medium,5
TKT3428,ACC1434,medium,4
TKT1585,ACC1435,high,4
TKT5636,ACC1436,medium,2
TKT6894,ACC1437,medium,5
TKT5911,ACC1438,medium,5
TKT6045,ACC1441,low,3
TKT3296,ACC1442,medium,4
TKT6436,ACC1444,high,3
TKT1652,ACC1445,medium,5
TKT9165,ACC1448,urgent,1
TKT6864,ACC1449,high,3
TKT7533,ACC1450,urgent,5
TKT3928,ACC1452,low,2
TKT9582,ACC1456,high,4
TKT1074,ACC1457,high,1
TKT1500,ACC1458,high,4
TKT2598,ACC1459,high,4
TKT4856,ACC1462,medium,2
TKT6366,ACC1463,medium,4
TKT7209,ACC1464,urgent,4
TKT1021,ACC1465,medium,4
TKT2477,ACC1466,urgent,3
TKT6620,ACC1468,urgent,3
TKT3778,ACC1470,high,4
TKT5347,ACC1471,urgent,3
TKT5568,ACC1473,medium,1
TKT3567,ACC1475,low,3
TKT8514,ACC1476,low,3
TKT4892,ACC1480,low,1
TKT6563,ACC1484,urgent,2
TKT6810,ACC1488,urgent,2
TKT6127,ACC1494,low,5
TKT4972,ACC1495,low,2
TKT8956,ACC1497,urgent,2
TKT8431,ACC1498,urgent,1
